反应物	反应类型数	反应类型列表
[c:1]1([Br:14])[cH:2][cH:3][cH:4][cH:5][cH:6]1	2	[1, 3]
[NH2:18][OH:19]	2	[2, 9]
[CH3:15][O:16][c:17]1[cH:18][cH:19][c:20]([NH2:21])[cH:22][cH:23]1	2	[1, 2]
[CH3:23][N:24]1[CH2:25][CH2:26][NH:27][CH2:28][CH2:29]1	2	[1, 2]
[CH3:29][NH2:30]	2	[1, 2]
[NH3:18]	2	[1, 9]
[NH2:10][OH:11]	2	[1, 9]
[CH3:35][NH:36][CH3:37]	2	[1, 2]
[NH2:15][CH:16]1[CH2:17][CH2:18]1	2	[1, 2]
[NH2:18][CH:19]1[CH2:20][CH2:21][CH2:22][CH2:23][CH2:24]1	2	[1, 2]
[OH:4][c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1	2	[1, 5]
[C:1]([CH:2]([CH3:3])[CH3:4])(=[O:5])[Cl:25]	2	[2, 3]
[NH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[NH2:17]	2	[1, 4]
[CH3:13][NH:14][CH3:15]	2	[1, 2]
[NH2:20][CH2:21][c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1	2	[1, 2]
[CH2:13]1[CH2:14][O:15][CH2:16][CH2:17][NH:18]1	2	[1, 2]
[NH4+:26]	2	[1, 9]
[c:1]1([Cl:16])[cH:2][c:3]([Cl:4])[n:5][cH:6][n:7]1	2	[1, 3]
[c:1]1([Br:21])[cH:2][cH:3][c:4]([CH3:5])[cH:6][cH:7]1	2	[1, 3]
[C:1]([O:2][CH2:3][CH3:4])(=[O:5])[Cl:15]	2	[1, 2]
[CH3:24][O:25][c:26]1[cH:27][c:28]([NH2:29])[cH:30][c:31]([O:32][CH3:33])[cH:34]1	2	[1, 2]
[CH3:23][NH2:24]	2	[1, 2]
[N-:16]=[N+:17]=[N-:18]	2	[1, 9]
[CH:1]#[C:2][CH2:3][NH2:4]	2	[1, 4]
[CH3:4][C:5]([CH3:6])([CH3:7])[c:8]1[cH:9][c:10]([Br:11])[c:12]([OH:13])[c:14]([C:15]([CH3:16])([CH3:17])[CH3:18])[cH:19]1	2	[1, 5]
[CH3:21][N:22]1[CH2:23][CH2:24][NH:25][CH2:26][CH2:27]1	2	[1, 2]
[N-:39]=[N+:40]=[N-:41]	2	[1, 4]
[CH2:1]=[O:34]	2	[1, 3]
[CH3:1][C:2](=[O:3])[O:29][C:27]([CH3:26])=[O:28]	2	[2, 3]
[CH3:1][OH:11]	2	[1, 2]
[NH2:28][CH2:29][c:30]1[cH:31][cH:32][c:33]([F:34])[cH:35][cH:36]1	2	[1, 2]
[CH3:1][I:34]	2	[1, 3]
[CH2:1]=[O:27]	2	[1, 3]
[N-:31]=[N+:32]=[N-:33]	2	[1, 4]
[NH2:21][c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1	2	[1, 4]
[CH3:11][NH:12][CH3:13]	2	[1, 2]
[CH3:33][NH:34][CH3:35]	2	[1, 2]
[CH3:30][O:31][CH2:32][CH2:33][NH2:34]	2	[1, 2]
[c:1]1([Cl:15])[cH:2][cH:3][n:4][c:5]([Cl:6])[n:7]1	2	[1, 3]
[N-:34]=[N+:35]=[N-:36]	2	[4, 9]
[OH:8][CH:9]1[CH2:10][CH2:11][NH:12][CH2:13][CH2:14]1	2	[1, 5]
[OH:13][CH:14]1[CH2:15][CH2:16][NH:17][CH2:18]1	2	[1, 2]
[CH2:35]1[CH2:36][CH2:37][NH:38][CH2:39]1	2	[1, 2]
[C-:27]#[N:28]	2	[3, 9]
[c:1]1([Br:16])[cH:2][cH:3][cH:4][cH:5][n:6]1	2	[1, 3]
[CH:1]([CH:2]=[CH:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)=[O:17]	2	[1, 3]
[NH2:4][c:5]1[cH:6][cH:7][c:8]([F:9])[cH:10][cH:11]1	2	[1, 4]
[CH2:21]1[CH2:22][NH:23][CH2:24]1	2	[1, 2]
[CH2:1]=[O:29]	2	[1, 3]
[NH2:14][c:15]1[cH:16][cH:17][cH:18][c:19]([OH:20])[cH:21]1	2	[1, 2]
[c:1]1([Br:22])[n:2][n:3][c:4]([NH2:5])[n:6][c:7]1-[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1	2	[1, 3]
[O:5]=[C:6]([OH:7])[C@@H:8]1[CH2:9][S:10][CH:11]([c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[NH:18]1	2	[1, 2]
[cH:15]1[cH:16][n:17][c:18]([N:19]2[CH2:20][CH2:21][NH:22][CH2:23][CH2:24]2)[n:25][cH:26]1	2	[1, 2]
[OH:1][O:29][C:28](=[O:27])[c:30]1[cH:31][cH:32][cH:33][c:34]([Cl:35])[cH:36]1	2	[4, 8]
[CH:1]([CH3:2])([CH3:3])[OH:15]	2	[1, 2]
[CH2:5]1[CH2:6][CH2:7][NH:8][CH2:9][CH2:10]1	2	[1, 2]
[OH:11][CH:12]1[CH2:13][CH2:14][NH:15][CH2:16][CH2:17]1	2	[1, 2]
[CH3:1][C:2](=[O:3])[O:22][C:20]([CH3:19])=[O:21]	2	[2, 3]
[CH3:11][C:12](=[O:13])[N:14]1[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]1	2	[1, 2]
[CH3:1][OH:17]	2	[1, 2]
[CH3:6][c:7]1[cH:8][cH:9][c:10]([OH:11])[cH:12][cH:13]1	2	[1, 2]
[OH:12][CH2:13][CH2:14][NH:15][CH2:16][CH2:17][OH:18]	2	[1, 2]
[CH2:30]1[CH2:31][O:32][CH2:33][CH2:34][NH:35]1	2	[1, 2]
[NH2:20][CH2:21][CH2:22][OH:23]	2	[1, 2]
[CH2:32]1[CH2:33][O:34][CH2:35][CH2:36][NH:37]1	2	[1, 2]
[CH3:6][C@@H:7]1[CH2:8][N:9]([C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[CH2:17][CH2:18][NH:19]1	2	[1, 2]
[c:1]1([Cl:23])[n:2][c:3]([CH3:4])[nH:5][c:6]2[cH:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[n:15][c:16]1-2	2	[1, 3]
[OH:32][CH:33]1[CH2:34][CH2:35][NH:36][CH2:37][CH2:38]1	2	[1, 2]
[N:9]#[C:10][NH2:11]	2	[2, 9]
[CH3:17][N:18]1[CH2:19][CH2:20][NH:21][CH2:22][CH2:23]1	2	[1, 2]
[NH2:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1	2	[1, 2]
[CH2:12]1[CH2:13][CH2:14][NH:15][CH2:16][CH2:17]1	2	[1, 2]
[CH2:1]([C:2]([O:3][CH2:4][CH3:5])=[O:6])[Br:19]	2	[1, 3]
[CH3:1][C:2](=[O:3])[O:27][C:25]([CH3:24])=[O:26]	2	[2, 3]
[CH2:1]([CH2:2][OH:3])[OH:18]	2	[1, 5]
[CH3:14][CH2:15][O:16][C:17](=[O:18])[c:19]1[cH:20][cH:21][cH:22][c:23]([NH2:24])[cH:25]1	2	[1, 2]
[CH3:19][C:20]([CH3:21])([CH3:22])[O:23][C:24](=[O:25])[N:26]1[CH2:27][CH2:28][NH:29][CH2:30][CH2:31]1	2	[1, 2]
[OH:1][OH:20]	2	[4, 8]
[NH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1	2	[1, 2]
[CH:12]#[C:13][CH2:14][NH2:15]	2	[1, 2]
[CH2:1]([CH:2]=[CH2:3])[Br:22]	2	[1, 3]
[c:1]1([I:22])[cH:2][cH:3][c:4]([CH3:5])[cH:6][cH:7]1	2	[1, 3]
[CH3:34][NH:35][CH3:36]	2	[1, 2]
[CH3:8][c:9]1[cH:10][c:11]([NH2:12])[cH:13][cH:14][c:15]1[Br:16]	2	[1, 5]
[OH:12][CH:13]1[CH2:14][CH2:15][NH:16][CH2:17][CH2:18]1	2	[1, 2]
[CH2:23]1[CH2:24][O:25][CH2:26][CH2:27][NH:28]1	2	[1, 2]
[c:1]1([Cl:16])[cH:2][cH:3][c:4]([C:5]#[N:6])[cH:7][cH:8]1	2	[1, 3]
[CH:1]([CH:2]1[CH2:3][CH2:4]1)=[O:42]	2	[1, 3]
[NH2:10][CH:11]1[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]1	2	[1, 2]
[NH4+:16]	2	[1, 9]
[NH2:22][OH:23]	2	[2, 9]
[OH:1][O:26][C:25](=[O:24])[c:27]1[cH:28][cH:29][cH:30][c:31]([Cl:32])[cH:33]1	2	[4, 8]
[C:1]([CH3:2])(=[O:3])[OH:31]	2	[1, 2]
[C:1]1(=[O:13])[CH2:2][CH2:3][CH2:4][c:5]2[cH:6][cH:7][cH:8][n:9][c:10]21	2	[1, 9]
[CH2:34]1[CH2:35][CH2:36][NH:37][CH2:38]1	2	[1, 2]
[CH3:11][O:12][c:13]1[cH:14][cH:15][cH:16][c:17]([NH2:18])[cH:19]1	2	[1, 4]
[cH:15]1[cH:16][cH:17][c:18]([N:19]2[CH2:20][CH2:21][NH:22][CH2:23][CH2:24]2)[n:25][cH:26]1	2	[1, 2]
[c:1]1([Br:23])[n:2][n:3][c:4]([NH2:5])[n:6][c:7]1-[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1	2	[1, 3]
[NH2:29][OH:30]	2	[2, 9]
[CH3:14][NH2:15]	2	[1, 2]
[CH2:12]1[CH2:13][C:14]2([CH2:15][CH2:16][NH:17]1)[O:18][CH2:19][CH2:20][O:21]2	2	[1, 2]
[c:1]1([Cl:29])[n:2][c:3]2[c:4]([cH:5][cH:6]1)[N:7]1[CH2:8][CH2:9][C@H:10]([N:11]2[C:12](=[O:13])[NH:14][c:15]2[cH:16][n:17][cH:18][cH:19][n:20]2)[CH2:21]1	2	[1, 3]
[c:1]1([Cl:14])[cH:2][c:3]([Cl:4])[n:5][cH:6][n:7]1	2	[1, 3]
[C:1](=[O:2])([CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[Cl:20]	2	[2, 3]
[C:1]([CH2:2][CH3:3])(=[O:4])[Cl:17]	2	[2, 3]
[NH2:31][CH2:32][CH:33]1[CH2:34][CH2:35]1	2	[1, 2]
[NH2:12][c:13]1[cH:14][cH:15][c:16]2[nH:17][n:18][cH:19][c:20]2[cH:21]1	2	[1, 2]
[c:1]1([Br:14])[cH:2][cH:3][c:4]([Br:5])[cH:6][n:7]1	2	[1, 3]
[NH2:15][OH:16]	2	[2, 9]
[CH3:28][N:29]1[CH2:30][CH2:31][NH:32][CH2:33][CH2:34]1	2	[1, 2]
[CH3:17][N:18]([CH3:19])[CH2:20][CH2:21][CH2:22][NH2:23]	2	[1, 4]
[CH2:1]([O:2][CH3:3])[Cl:20]	2	[1, 5]
[CH2:1]([O:2][CH3:3])[Cl:16]	2	[1, 5]
[CH3:41][NH:42][CH3:43]	2	[1, 2]
[CH3:28][CH:29]([CH3:30])[NH2:31]	2	[1, 2]
[NH2:21][CH2:22][c:23]1[cH:24][cH:25][c:26]([F:27])[cH:28][cH:29]1	2	[1, 2]
[C:1](=[O:2])([CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[Cl:18]	2	[2, 3]
[NH2:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1	2	[1, 2]
[CH3:14][O:15][c:16]1[cH:17][cH:18][cH:19][c:20]([NH2:21])[cH:22]1	2	[1, 2]
[CH3:15][C:16]([CH3:17])([CH3:18])[O:19][C:20](=[O:21])[N:22]1[CH2:23][CH2:24][NH:25][CH2:26][CH2:27]1	2	[1, 2]
[NH2:11][CH:12]1[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]1	2	[1, 2]
[N-:17]=[N+:18]=[N-:19]	2	[1, 9]
[CH3:20][CH2:21][CH2:22][NH2:23]	2	[1, 2]
[CH3:20][c:21]1[cH:22][c:23]([CH3:24])[n:25][c:26]([NH2:27])[n:28]1	2	[1, 2]
[CH2:17]1[CH2:18][CH2:19][CH:20]([N:21]2[CH2:22][CH2:23][NH:24][CH2:25][CH2:26]2)[CH2:27]1	2	[1, 2]
[NH2:11][CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1	2	[1, 2]
[N-:18]=[N+:19]=[N-:20]	2	[4, 9]
[OH:9][c:10]1[cH:11][cH:12][c:13]([Br:14])[cH:15][cH:16]1	2	[1, 2]
[c:1]1([Cl:14])[cH:2][cH:3][n:4][c:5]([Cl:6])[n:7]1	2	[1, 3]
[c:1]1([Br:15])[cH:2][cH:3][cH:4][cH:5][cH:6]1	2	[1, 3]
[S:1]([CH3:2])(=[O:3])(=[O:4])[Cl:18]	2	[2, 9]
[O:4]=[CH:5][c:6]1[cH:7][cH:8][c:9]([Br:10])[cH:11][cH:12]1	2	[3, 5]
[CH2:1]=[O:36]	2	[1, 3]
[CH3:22][N:23]([CH3:24])[CH2:25][CH2:26][NH2:27]	2	[1, 2]
[NH2:20][c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1	2	[1, 2]
[CH3:27][CH:28]([CH3:29])[NH2:30]	2	[1, 2]
[C-:12]#[N:13]	2	[3, 9]
[CH3:1][S+:20]([CH3:19])([CH3:21])=[O:22]	2	[3, 4]
[CH3:32][N:33]1[CH2:34][CH2:35][NH:36][CH2:37][CH2:38]1	2	[1, 2]
[c:1]1([Br:21])[cH:2][cH:3][cH:4][n:5][cH:6]1	2	[1, 3]
[C-:10]#[N:11]	2	[3, 9]
[NH2:27][c:28]1[cH:29][cH:30][cH:31][n:32][cH:33]1	2	[1, 2]
[CH3:26][NH2:27]	2	[1, 2]
[CH:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)=[O:20]	2	[1, 3]
[c:1]1([Br:17])[c:2]([N+:3](=[O:4])[O-:5])[cH:6][cH:7][cH:8][cH:9]1	2	[1, 3]
[CH3:14][C:15]([CH3:16])([CH3:17])[O:18][C:19](=[O:20])[N:21]1[CH2:22][CH2:23][NH:24][CH2:25][CH2:26]1	2	[1, 2]
[CH3:28][NH:29][CH2:30][CH2:31][N:32]([CH3:33])[CH3:34]	2	[1, 2]
[NH4+:24]	2	[1, 9]
[c:1]1([Br:18])[cH:2][cH:3][c:4]([Br:5])[cH:6][n:7]1	2	[1, 3]
[CH2:1]=[O:19]	2	[1, 3]
[CH3:36][N:37]1[CH2:38][CH2:39][NH:40][CH2:41][CH2:42]1	2	[1, 2]
[c:1]1([Br:12])[cH:2][c:3]([F:4])[cH:5][c:6]([C:7]#[N:8])[cH:9]1	2	[1, 3]
[CH3:38][NH2:39]	2	[1, 2]
[CH3:11][C:12]([CH3:13])([CH3:14])[NH2:15]	2	[1, 2]
[CH3:5][CH2:6][CH2:7][CH2:8][CH2:9]/[CH:10]=[CH:11]\[CH2:12]/[CH:13]=[CH:14]\[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][OH:23]	2	[1, 2]
[C:1]([CH3:2])(=[O:3])[Cl:14]	2	[2, 3]
[CH2:14]1[CH2:15][NH:16][CH2:17][CH2:18][NH:19]1	2	[1, 2]
[CH2:1]([CH2:2][Br:3])[OH:19]	2	[1, 2]
[OH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1	2	[1, 2]
[c:1]1([Br:15])[cH:2][cH:3][c:4]([Br:5])[cH:6][n:7]1	2	[1, 3]
[NH2:23][CH2:24][CH2:25][N:26]1[CH2:27][CH2:28][O:29][CH2:30][CH2:31]1	2	[1, 2]
[CH3:19][NH:20][CH3:21]	2	[1, 2]
[N-:33]=[N+:34]=[N-:35]	2	[4, 9]
[CH2:1]=[O:25]	2	[1, 3]
[CH2:34]1[CH2:35][O:36][CH2:37][CH2:38][NH:39]1	2	[1, 2]
[cH:4]1[cH:5][c:6]2[cH:7][cH:8][nH:9][c:10]2[cH:11][n:12]1	2	[1, 3]
[CH2:33]1[CH2:34][NH:35][CH2:36]1	2	[1, 2]
[NH2:34][CH2:35][CH2:36][OH:37]	2	[1, 2]
[CH2:11]1[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]1	2	[1, 2]
[CH3:1][OH:18]	2	[1, 2]
[CH3:1][C:2](=[O:3])[O:23][C:21]([CH3:20])=[O:22]	2	[2, 3]
[NH2:18][c:19]1[cH:20][cH:21][c:22]([C:23]([F:24])([F:25])[F:26])[cH:27][cH:28]1	2	[1, 2]
[C:1]([C:2]([CH3:3])([CH3:4])[CH3:5])(=[O:6])[Cl:20]	2	[1, 2]
[C:1]([c:2]1[cH:3][cH:4][c:5]([O:6][CH3:7])[cH:8][cH:9]1)(=[O:10])[Cl:21]	2	[2, 3]
[CH3:11][NH2:12]	2	[1, 2]
[CH2:1]=[O:13]	2	[1, 3]
[NH2:12][NH:13][C:14]([NH2:15])=[S:16]	2	[1, 2]
[NH2:22][CH2:23][c:24]1[cH:25][cH:26][c:27]([Cl:28])[cH:29][cH:30]1	2	[1, 2]
[NH2:11][c:12]1[cH:13][cH:14][c:15]([OH:16])[cH:17][cH:18]1	2	[1, 2]
[NH3:28]	2	[1, 9]
[CH3:18][CH2:19][NH:20][CH2:21][CH3:22]	2	[1, 2]
[CH3:24][CH:25]([CH3:26])[NH2:27]	2	[1, 2]
[CH3:19][CH:20]1[CH2:21][CH2:22][CH2:23][NH:24][CH2:25]1	2	[1, 2]
[C:1](=[O:2])([CH2:3][Cl:4])[Cl:19]	2	[1, 2]
[CH3:1][OH:27]	2	[1, 2]
[CH2:33]1[CH2:34][O:35][CH2:36][CH2:37][NH:38]1	2	[1, 2]
[OH:31][CH2:32][CH2:33][N:34]1[CH2:35][CH2:36][NH:37][CH2:38][CH2:39]1	2	[1, 2]
[c:1]1([Br:21])[cH:2][n:3][cH:4][c:5]([Br:6])[cH:7]1	2	[1, 3]
[CH3:24][N:25]1[CH2:26][CH2:27][NH:28][CH2:29][CH2:30]1	2	[1, 2]
[N-:21]=[N+:22]=[N-:23]	2	[1, 9]
[CH3:31][C@H:32]([OH:33])[CH2:34][NH2:35]	2	[1, 2]
[NH2:20][c:21]1[n:22][cH:23][cH:24][s:25]1	2	[1, 2]
[CH3:11][N:12]1[CH2:13][CH2:14][NH:15][CH2:16][CH2:17]1	2	[1, 2]
[NH2:24][CH2:25][CH2:26][OH:27]	2	[1, 2]
[OH:1][O:17][C:16](=[O:15])[c:18]1[cH:19][cH:20][cH:21][c:22]([Cl:23])[cH:24]1	2	[4, 8]
[NH2:20][c:21]1[cH:22][cH:23][c:24]([F:25])[c:26]([Cl:27])[cH:28]1	2	[1, 2]
[NH2:22][c:23]1[cH:24][n:25][cH:26][cH:27][n:28]1	2	[1, 2]
[CH3:10][CH2:11][NH:12][CH2:13][CH3:14]	2	[1, 2]
[CH:1]([CH2:2][CH3:3])=[O:25]	2	[1, 3]
[C:1](=[O:2])([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[Cl:27]	2	[2, 3]
[CH3:15][NH:16][O:17][CH3:18]	2	[1, 2]
[CH3:23][CH2:24][NH:25][CH2:26][CH3:27]	2	[1, 2]
[CH2:20]1[CH2:21][CH2:22][NH:23][CH2:24][CH2:25]1	2	[1, 2]
[CH:1]([c:2]1[cH:3][cH:4][cH:5][c:6]([O:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[cH:14]1)=[O:26]	2	[1, 3]
[NH2:16][CH2:17][CH2:18][OH:19]	2	[1, 2]
[c:1]1([Cl:18])[cH:2][n:3][cH:4][c:5]([Cl:6])[n:7]1	2	[1, 3]
[CH3:1][S+:22]([CH3:21])([CH3:23])=[O:24]	2	[3, 4]
[CH3:14][CH:15]([CH3:16])[OH:17]	2	[1, 2]
[CH2:23]1[CH2:24][CH2:25][NH:26][CH2:27][CH2:28]1	2	[1, 2]
[NH2:15][CH2:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1	2	[1, 2]
[CH2:1]([CH3:2])[OH:17]	2	[1, 2]
[CH2:1]([C:2]([O:3][CH2:4][CH3:5])=[O:6])[Br:27]	2	[1, 3]
[OH:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1	2	[1, 2]
[CH3:22][NH:23][CH3:24]	2	[1, 2]
[O:8]=[N+:9]([O-:10])[c:11]1[cH:12][cH:13][cH:14][c:15]([OH:16])[cH:17]1	2	[1, 2]
[CH3:13][O:14][CH2:15][CH2:16][NH2:17]	2	[1, 2]
[CH3:4][N:5]1[CH2:6][CH2:7][NH:8][CH2:9][CH2:10]1	2	[1, 2]
[NH2:23][NH2:24]	2	[2, 9]
[CH3:37][NH2:38]	2	[1, 2]
[NH2:25][CH2:26][CH2:27][CH2:28][N:29]1[CH2:30][CH2:31][O:32][CH2:33][CH2:34]1	2	[1, 2]
[c:1]1([Br:22])[c:2]2[n:3][c:4]([Cl:5])[n:6][n:7]2[cH:8][cH:9][cH:10]1	2	[1, 3]
[c:1]1([Cl:26])[n:2][c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[nH:9]1	2	[1, 3]
[CH3:23][S:24](=[O:25])(=[O:26])[N:27]1[CH2:28][CH2:29][NH:30][CH2:31][CH2:32]1	2	[1, 2]
[C:1]([CH:2]([CH3:3])[CH3:4])(=[O:5])[Cl:15]	2	[2, 3]
[CH3:1][C:2](=[O:3])[O:16][C:14]([CH3:13])=[O:15]	2	[2, 3]
[NH2:9][CH:10]1[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]1	2	[1, 4]
[CH3:10][CH2:11][O:12][C:13](=[O:14])[c:15]1[cH:16][cH:17][c:18]([NH2:19])[cH:20][cH:21]1	2	[1, 2]
[NH2:11][c:12]1[cH:13][cH:14][cH:15][c:16]([C:17]([F:18])([F:19])[F:20])[cH:21]1	2	[1, 2]
[NH2:13][CH:14]1[CH2:15][CH2:16]1	2	[1, 2]
[c:1]1([Br:11])[cH:2][cH:3][cH:4][c:5]([Br:6])[n:7]1	2	[1, 3]
[C-:25]#[N:26]	2	[3, 9]
[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[Br:19]	2	[1, 3]
[CH2:30]1[CH2:31][NH:32][CH2:33]1	2	[1, 2]
[CH3:37][N:38]1[CH2:39][CH2:40][NH:41][CH2:42][CH2:43]1	2	[1, 2]
[CH2:1]=[O:30]	2	[1, 3]
[CH3:1][OH:22]	2	[1, 2]
[C:1](=[O:2])([c:3]1[cH:4][cH:5][c:6]([N+:7](=[O:8])[O-:9])[cH:10][cH:11]1)[Cl:21]	2	[2, 3]
[O:8]=[C:9]([OH:10])[c:11]1[cH:12][c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]2[nH:19]1	2	[1, 5]
[NH:29]=[C:30]([NH2:31])[NH2:32]	2	[1, 4]
[c:1]1([Cl:17])[cH:2][c:3]([Cl:4])[n:5][cH:6][n:7]1	2	[1, 3]
[CH2:25]1[CH2:26][CH2:27][NH:28][CH2:29]1	2	[1, 2]
[NH2:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1	2	[1, 2]
[CH2:26]1[CH2:27][O:28][CH2:29][CH2:30][NH:31]1	2	[1, 2]
[CH3:37][NH:38][CH3:39]	2	[1, 2]
[C:1]1(=[O:10])[CH2:2][CH2:3][N:4]([CH3:5])[CH2:6][CH2:7]1	2	[1, 9]
[CH2:24]1[CH2:25][O:26][CH2:27][CH2:28][NH:29]1	2	[1, 2]
[NH2:10][CH2:11][CH2:12][N:13]1[CH2:14][CH2:15][O:16][CH2:17][CH2:18]1	2	[1, 2]
[CH:1]([c:2]1[cH:3][cH:4][cH:5][n:6][cH:7]1)=[O:20]	2	[1, 3]
[c:1]1([Br:21])[cH:2][cH:3][cH:4][cH:5][n:6]1	2	[1, 3]
[CH2:1]=[O:15]	2	[1, 3]
[CH3:13][NH:14][O:15][CH3:16]	2	[1, 2]
[CH3:32][NH:33][CH3:34]	2	[1, 2]
[CH2:38]1[CH2:39][O:40][CH2:41][CH2:42][NH:43]1	2	[1, 2]
[N-:19]=[N+:20]=[N-:21]	2	[1, 9]
[N-:10]=[N+:11]=[N-:12]	2	[1, 9]
[CH3:13][CH:14]([OH:15])[CH2:16][NH2:17]	2	[1, 2]
[CH:1]([c:2]1[cH:3][cH:4][c:5]([C:6]#[N:7])[cH:8][cH:9]1)=[O:12]	2	[1, 9]
[C:1]([CH3:2])(=[O:3])[Cl:21]	2	[2, 3]
[C:1]1(=[O:22])[CH2:2][CH2:3][N:4]([CH2:5][c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[CH2:12][CH2:13]1	2	[1, 3]
[CH3:26][N:27]1[CH2:28][CH2:29][NH:30][CH2:31][CH2:32]1	2	[1, 2]
[CH3:1][OH:26]	2	[1, 2]
[CH3:9][CH2:10][O:11][C:12](=[O:13])[CH2:14][NH2:15]	2	[1, 4]
[C:1](=[O:2])([c:3]1[cH:4][cH:5][cH:6][c:7]([Cl:8])[cH:9]1)[Cl:14]	2	[2, 3]
[C-:17]#[N:18]	2	[3, 9]
[NH2:25][OH:26]	2	[2, 9]
[CH2:1]=[O:16]	2	[1, 3]
[CH3:17][CH:18]([CH3:19])[NH2:20]	2	[1, 2]
[O:10]=[c:11]1[nH:12][c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]2[c:19]2[cH:20][c:21]([CH2:22][OH:23])[n:24][n:25]12	2	[1, 2]
[CH3:28][NH:29][CH3:30]	2	[1, 2]
[CH:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)=[O:15]	2	[1, 3]
[CH:1]([c:2]1[cH:3][cH:4][n:5][cH:6][cH:7]1)=[O:24]	2	[1, 3]
[CH3:11][NH:12][O:13][CH3:14]	2	[1, 2]
[CH3:19][CH2:20][NH2:21]	2	[1, 2]
[cH:19]1[cH:20][cH:21][c:22]([N:23]2[CH2:24][CH2:25][NH:26][CH2:27][CH2:28]2)[cH:29][cH:30]1	2	[1, 2]
[CH2:1]([O:2][CH3:3])[Cl:21]	2	[1, 5]
[C:1](=[O:2])([O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[Cl:15]	2	[2, 3]
[CH3:34][NH2:35]	2	[1, 2]
[CH2:18]1[CH2:19][NH:20][CH2:21][CH2:22][NH:23]1	2	[1, 2]
[CH2:1]=[O:26]	2	[1, 3]
[CH3:12][O:13][c:14]1[cH:15][cH:16][c:17]([NH2:18])[cH:19][cH:20]1	2	[1, 2]
[N-:26]=[N+:27]=[N-:28]	2	[1, 4]
[CH3:17][CH2:18][CH2:19][CH2:20][NH2:21]	2	[1, 2]
[CH2:15]=[CH:16][CH2:17][NH2:18]	2	[1, 2]
[NH2:20][c:21]1[cH:22][cH:23][cH:24][cH:25][n:26]1	2	[1, 2]
[NH2:11][c:12]1[cH:13][cH:14][cH:15][cH:16][c:17]1[NH2:18]	2	[1, 4]
[NH2:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][c:18]([Cl:19])[cH:20]1	2	[1, 2]
[CH2:26]1[CH2:27][CH2:28][NH:29][CH2:30][CH2:31]1	2	[1, 2]
[CH3:14][CH2:15][NH:16][CH2:17][CH3:18]	2	[1, 2]
[CH2:12]1[CH2:13][CH2:14][NH:15][CH2:16]1	2	[1, 2]
[c:1]1([Br:39])[cH:2][cH:3][c:4]([CH:5]([CH3:6])[C:7]([OH:8])([c:9]2[cH:10][cH:11][c:12]3[c:13]([cH:14]2)[N:15]([CH3:16])[C:17](=[O:18])[CH2:19][O:20]3)[C:21]([F:22])([F:23])[F:24])[c:25]([Cl:26])[cH:27]1	2	[1, 3]
[C:1]([CH3:2])(=[O:3])[OH:22]	2	[1, 2]
